s	width	allele counts	se_f	f	n	f_per_kb
-0.1	0.0	1	0	0	25	0
-0.1	0.0	1.106338589938541	9.580399904666471	226.4704	25	0.002264704
-0.1	0.0	1.3541419226309606	0	0	25	0
-0.1	0.0	1.6574495035272516	0	0	25	0
-0.1	0.0	2.0286934558567684	3.969348729115816	93.5772	25	9.357720000000001e-4
-0.1	0.0	2.4830905129101035	0	0	25	0
-0.1	0.0	3.0392657291341303	2.0407657876395326	35.378	25	3.5378e-4
-0.1	0.0	3.720015893203823	1.1687633065196166	16.2892	25	1.62892e-4
-0.1	0.0	4.5532439342286635	0.793357842758655	7.272	25	7.272000000000001e-5
-0.1	0.0	5.573102621003827	0.5407966346049132	4.0312	25	4.0312e-5
-0.1	0.0	6.821394432824586	0.390835856423981	2.0312	25	2.0312e-5
-0.1	0.0	8.349284980470902	0.1873895230084471	0.9026	25	9.026e-6
-0.1	0.0	10.21940020792074	0.09077536376499225	0.2888	25	2.888e-6
-0.1	0.0	12.508393335947712	0.047092993109378804	0.1014	25	1.014e-6
-0.1	0.0	15.310086762774377	0.02062181513008152	0.024133333333333333	25	2.413333333333333e-7
-0.1	0.0	18.739317703580973	0.006571719714047458	0.0052	25	5.1999999999999996e-8
-0.1	0.0	22.936645195870106	8.793937305515279e-4	2.4e-4	25	2.4e-9
-0.1	0.0	28.074111403783828	0	0	25	0
-0.1	0.0	34.362293368603815	0	0	25	0
-0.1	0.0	42.058934246120046	0	0	25	0
-0.1	0.0	51.479507812354285	0	0	25	0
-0.1	0.0	63.0101492608963	0	0	25	0
-0.1	0.0	77.12348230585881	0	0	25	0
-0.1	0.0	94.39799131968466	0	0	25	0
-0.1	0.0	115.54173254070393	0	0	25	0
-0.1	0.0	141.4213562373095	0	0	25	0
-0.1	0.0	173.0976294037676	0	0	25	0
-0.1	0.0	211.86891500973533	0	0	25	0
-0.1	0.0	259.3243899527689	0	0	25	0
-0.1	0.0	317.409183037944	0	0	25	0
-0.1	0.0	388.50410289276914	0	0	25	0
-0.1	0.0	475.5232237451433	0	0	25	0
-0.1	0.0	582.0333289591675	0	0	25	0
-0.1	0.0	712.4001081403561	0	0	25	0
-0.1	0.0	871.9671002105022	0	0	25	0
-0.1	0.0	1067.2747170607029	0	0	25	0
-0.1	0.0	1306.3283252338515	0	0	25	0
-0.1	0.0	1598.9263739030541	0	0	25	0
-0.1	0.0	1957.062018620097	0	0	25	0
-0.1	0.0	2395.4147027895547	0	0	25	0
-0.1	0.0	2931.9518460565623	0	0	25	0
-0.1	0.0	3588.6653019135715	0	0	25	0
-0.1	0.0	4392.472770819839	0	0	25	0
-0.1	0.0	5376.321116406638	0	0	25	0
-0.1	0.0	6580.536808046029	0	0	25	0
-0.1	0.0	8054.478842400569	0	0	25	0
-0.1	0.0	9858.561894731161	0	0	25	0
-0.1	0.0	12066.732625903607	0	0	25	0
-0.1	0.0	14769.500645207127	0	0	25	0
-0.1	0.0	18077.64836360904	0	0	25	0
-0.1	1.224744871391589	1	0	0	25	0
