s	width	allele counts	se_f	f	n	f_per_kb
-0.1	0.0	1	0	0	25	0
-0.1	0.0	1.106338589938541	12.047799840634802	716.1868000000001	25	0.007161868000000001
-0.1	0.0	1.3541419226309606	0	0	25	0
-0.1	0.0	1.6574495035272516	0	0	25	0
-0.1	0.0	2.0286934558567684	7.8108050161298985	415.138	25	0.00415138
-0.1	0.0	2.4830905129101035	0	0	25	0
-0.1	0.0	3.0392657291341303	5.792809997459494	240.8332	25	0.002408332
-0.1	0.0	3.720015893203823	4.558301328345899	184.6588	25	0.0018465880000000001
-0.1	0.0	4.5532439342286635	4.049525568919566	138.00639999999999	25	0.0013800639999999999
-0.1	0.0	5.573102621003827	4.1104288908417645	121.4356	25	0.001214356
-0.1	0.0	6.821394432824586	3.50647458282532	101.9716	25	0.001019716
-0.1	0.0	8.349284980470902	2.9306670600166558	87.5686	25	8.756860000000001e-4
-0.1	0.0	10.21940020792074	3.014340889813227	73.3098	25	7.33098e-4
-0.1	0.0	12.508393335947712	2.287887799550785	63.2442	25	6.32442e-4
-0.1	0.0	15.310086762774377	1.9265061255682134	54.28693333333333	25	5.428693333333332e-4
-0.1	0.0	18.739317703580973	1.5415902436012843	45.1773	25	4.51773e-4
-0.1	0.0	22.936645195870106	1.4410329628429757	37.4088	25	3.7408799999999996e-4
-0.1	0.0	28.074111403783828	0.9907161037089038	30.761733333333332	25	3.076173333333333e-4
-0.1	0.0	34.362293368603815	0.8411407058719907	25.274857142857144	25	2.5274857142857147e-4
-0.1	0.0	42.058934246120046	0.6749662105740312	20.9873	25	2.0987300000000001e-4
-0.1	0.0	51.479507812354285	0.5201692833427707	17.3876	25	1.73876e-4
-0.1	0.0	63.0101492608963	0.549281047041542	14.031876923076924	25	1.4031876923076923e-4
-0.1	0.0	77.12348230585881	0.5771351007166059	11.012725	25	1.1012725e-4
-0.1	0.0	94.39799131968466	0.51521038652406	8.6504	25	8.6504e-5
-0.1	0.0	115.54173254070393	0.38409085612559707	6.811895652173913	25	6.811895652173914e-5
-0.1	0.0	141.4213562373095	0.3087197875959197	5.2684137931034485	25	5.2684137931034486e-5
-0.1	0.0	173.0976294037676	0.1997610933634695	4.097382857142858	25	4.097382857142857e-5
-0.1	0.0	211.86891500973533	0.17724901129904772	3.0793023255813954	25	3.0793023255813956e-5
-0.1	0.0	259.3243899527689	0.15388865879178293	2.2762000000000002	25	2.2762000000000003e-5
-0.1	0.0	317.409183037944	0.13016343602907612	1.5797169230769228	25	1.579716923076923e-5
